home_team_elo,away_team_elo,home_xG_to_date,away_xG_to_date,home_xG_against_to_date,away_xG_against_to_date,home_goals_scored_to_date,away_goals_scored_to_date,home_goals_conceded_to_date,away_goals_conceded_to_date,home_points_to_date,away_points_to_date,home_form,away_form,match_result
1642.82080078,1680.82897949,28.3,29.0,25.5,34.2,27,30,31,34,32,31,2.0,1.4,0
1666.50354004,1848.49743652,31.6,36.0,34.1,20.2,33,40,42,19,30,47,1.4,1.6,0
1959.2767334,1687.07104492,46.9,28.8,17.5,28.0,54,29,13,29,60,31,3.0,1.4,1
1649.88464355,1660.82727051,27.4,25.8,33.6,29.5,25,23,40,32,22,22,1.0,2.0,1
1899.91357422,1664.54553223,34.7,32.2,27.2,31.0,48,32,23,32,51,33,1.2,0.8,0
1628.03015137,1662.44018555,23.7,32.7,38.0,32.7,27,33,36,34,26,33,0.6,0.8,1
1637.17419434,1648.53186035,26.7,28.6,41.8,34.7,25,26,45,41,23,23,1.4,1.0,1
1555.50073242,1688.95263672,24.7,33.6,38.4,34.8,20,37,46,42,19,33,0.6,1.4,0
1826.04846191,1512.8840332,36.7,17.0,22.2,33.7,40,13,23,41,47,11,1.6,0.2,0
1662.18005371,1579.86364746,26.9,26.5,30.7,42.8,24,25,33,53,23,17,2.0,1.8,0
1695.87695312,1655.88720703,30.9,30.5,31.8,25.7,35,30,33,31,33,35,2.0,2.0,2
1902.0189209,1649.35449219,36.4,22.0,27.7,35.7,50,21,24,32,54,24,1.2,1.4,0
1694.47375488,1865.46838379,29.9,41.4,28.6,31.7,30,48,30,35,32,45,1.4,1.0,2
1963.15930176,1843.64038086,53.3,38.0,19.1,31.1,63,50,19,33,56,47,3.0,0.8,0
1667.76269531,1951.87402344,29.2,47.5,36.4,18.6,30,55,37,14,31,61,1.4,3.0,1
1680.71203613,1968.37414551,32.1,56.0,33.2,19.8,36,66,36,20,33,59,2.0,3.0,2
1627.3137207,1635.80175781,25.3,29.1,38.3,42.5,27,26,36,46,27,24,0.6,1.4,2
